customer_id,year_month,nb_transactions,ElasticNet,KNeighborsRegressor,MLP,prediction_aggregated
4186957,2019-10,123,280,152,320,251
4186957,2019-11,39,210,189,261,220
4186957,2019-12,49,199,126,195,173
4211198,2019-10,6,39,11,26,25
4211198,2019-11,18,44,16,25,28
4211546,2019-10,188,1049,571,1006,875
4211546,2019-11,192,977,443,237,552
4211546,2019-12,18,432,390,159,327
4220385,2019-10,2,28,6,6,13
4233997,2019-10,27,72,65,78,72
4233997,2019-11,6,60,28,67,52
4234839,2019-10,10,42,16,19,26
4234839,2019-11,0,35,16,9,20
4275069,2019-10,30,106,48,62,72
4275069,2019-11,0,57,102,44,68
4275069,2019-12,16,52,58,49,53
4300308,2019-10,2,53,49,51,51
4300308,2019-11,56,92,100,97,96
4300308,2019-12,1,46,48,41,45
4306196,2019-10,12,31,10,26,22
4306196,2019-11,0,21,7,13,14
4306196,2019-12,0,18,8,5,11
4316509,2019-10,0,18,63,34,38
4316509,2019-11,3,17,13,171,67
4316509,2019-12,1,12,15,24,17
4339538,2019-10,33,58,33,48,46
4339538,2019-11,22,50,9,35,32
4339538,2019-12,8,41,9,22,24
4344139,2019-10,0,23,39,32,32
4344139,2019-11,0,21,5,3,10
4344139,2019-12,2,20,33,21,25
4347238,2019-10,3,25,16,15,19
4347238,2019-11,3,22,8,9,13
4363353,2019-10,41,118,88,131,113
4382091,2019-10,80,151,32,120,101
4382091,2019-11,88,163,34,99,99
4382091,2019-12,39,132,125,72,110
4402298,2019-10,7,44,43,21,36
4402298,2019-11,10,43,49,23,38
4412215,2019-10,14,116,9,66,64
4412215,2019-11,44,134,5,121,87
4412215,2019-12,16,96,1,96,64
4438764,2019-10,3,34,23,35,31
4443742,2019-10,26,101,68,106,92
4443742,2019-11,7,79,61,94,78
4443742,2019-12,21,85,47,97,76
4448731,2019-10,12,78,40,68,62
4448731,2019-11,34,77,27,56,53
4448731,2019-12,19,59,20,50,43
4451166,2019-10,32,165,196,214,192
4451166,2019-11,36,143,160,178,160
4451166,2019-12,42,123,118,133,125
4453423,2019-10,2,20,12,7,13
4453423,2019-11,11,25,6,2,11
4453423,2019-12,8,24,4,11,13
4474245,2019-10,81,165,171,192,176
4474245,2019-11,131,214,160,160,178
4485327,2019-10,6,61,9,45,38
4485327,2019-11,28,80,3,45,43
4498135,2019-10,8,53,51,52,52
4498135,2019-11,62,95,81,91,89
4498135,2019-12,6,55,40,45,46
4569642,2019-10,9,42,31,7,26
4569642,2019-11,12,39,37,0,25
4569642,2019-12,4,27,33,18,26
4576544,2019-10,5,39,0,9,16
4576544,2019-11,19,45,11,8,21
4576544,2019-12,0,29,11,3,14
4591716,2019-10,42,97,95,117,103
4591716,2019-11,20,73,96,100,90
4604981,2019-10,13,53,1,34,29
4604981,2019-11,29,66,12,27,35
4604981,2019-12,0,42,23,23,29
4607524,2019-10,10,63,79,18,53
4607524,2019-11,21,63,54,30,49
4607524,2019-12,9,53,29,38,40
4610461,2019-11,2,16,3,2,7
4610461,2019-12,10,18,13,10,14
4628788,2019-10,1,51,40,27,40
4628788,2019-11,14,53,89,31,58
4635706,2019-10,1,54,58,71,61
4637178,2019-10,17,33,5,15,18
4637178,2019-11,19,37,1,12,17
4637178,2019-12,2,24,6,5,12
4641340,2019-10,0,42,31,2,25
4641340,2019-11,1,38,4,0,14
4641340,2019-12,0,33,4,5,14
4698011,2019-10,6,29,3,21,18
4698011,2019-11,0,22,3,10,12
4698011,2019-12,1,18,2,12,11
4698888,2019-10,7,34,18,21,24
4698888,2019-11,14,34,2,6,14
4698888,2019-12,4,21,9,7,13
4752845,2019-10,33,84,119,99,101
4752845,2019-11,41,99,126,38,88
4752845,2019-12,3,57,37,15,36
